domain,communication_metric,model,horizon_s,target,mild_MAE,severe_MAE,relative_degradation_pct
cicv5g,latency_p95_ms,historical_average,10,flow_proxy,19140.700091913048,17946.267960520963,-6.240274000720112
cicv5g,latency_p95_ms,historical_average,10,speed_mean_kmh,5.952751748782563,5.2610644208754955,-11.619623258883035
cicv5g,latency_p95_ms,historical_average,10,vehicle_count,2.2416120737435037,1.3683858679146712,-38.95527741671254
cicv5g,latency_p95_ms,historical_average,30,flow_proxy,18083.658396055525,19361.430723180572,7.065895070231214
cicv5g,latency_p95_ms,historical_average,30,speed_mean_kmh,5.476322678003817,5.47872819827698,0.043925831442186335
cicv5g,latency_p95_ms,historical_average,30,vehicle_count,1.931529423052972,1.3769604571498932,-28.7113909015887
cicv5g,latency_p95_ms,impaired_gru,5,flow_proxy,14975.636196224237,10151.561598282256,-32.21281910651007
cicv5g,latency_p95_ms,impaired_gru,5,speed_mean_kmh,4.093779208172694,2.8797476297647804,-29.65552155374443
cicv5g,latency_p95_ms,impaired_gru,5,vehicle_count,1.173483431740207,0.796062207613204,-32.16246695115779
cicv5g,latency_p95_ms,impaired_gru,10,flow_proxy,19920.84873159578,13063.863629378817,-34.42114939278611
cicv5g,latency_p95_ms,impaired_gru,10,speed_mean_kmh,4.988956326452173,3.3853624265048676,-32.14287301395143
cicv5g,latency_p95_ms,impaired_gru,10,vehicle_count,1.5369576874260336,1.0989875138232246,-28.495915947217306
cicv5g,latency_p95_ms,impaired_gru,30,flow_proxy,14726.77147378934,15168.026726065536,2.9962796194756005
cicv5g,latency_p95_ms,impaired_gru,30,speed_mean_kmh,4.166428029086746,4.614290677836444,10.74931919015855
cicv5g,latency_p95_ms,impaired_gru,30,vehicle_count,1.765495270071992,1.1886462329043523,-32.673496422155104
cicv5g,latency_p95_ms,persistence,5,flow_proxy,15676.616237423756,13743.569611005683,-12.330764478384078
cicv5g,latency_p95_ms,persistence,5,speed_mean_kmh,4.234218909753406,3.62668619618692,-14.34816491731769
cicv5g,latency_p95_ms,persistence,5,vehicle_count,1.1622088506597703,0.8888889074933206,-23.51728268628839
cicv5g,latency_p95_ms,persistence,10,flow_proxy,21069.35965136427,17623.902952400593,-16.35292555623039
cicv5g,latency_p95_ms,persistence,10,speed_mean_kmh,5.099902469545169,4.323304013236689,-15.227711891026985
cicv5g,latency_p95_ms,persistence,10,vehicle_count,1.6773080906397428,1.305100215233117,-22.19078744475519
cicv5g,latency_p95_ms,persistence,30,flow_proxy,32530.6631620049,26701.38100998087,-17.919346196516255
cicv5g,latency_p95_ms,persistence,30,speed_mean_kmh,7.755692463570391,6.485729672979322,-16.37458930867629
cicv5g,latency_p95_ms,persistence,30,vehicle_count,2.414150262228427,2.1994536263147015,-8.893258981577228
cicv5g,aoi_mean_s,ca_dtnet,5,flow_proxy,13021.156498031567,10360.746784320227,-20.43143951239259
cicv5g,aoi_mean_s,ca_dtnet,5,speed_mean_kmh,3.607514404245196,2.946953363585293,-18.31069719504122
cicv5g,aoi_mean_s,ca_dtnet,5,vehicle_count,1.0339920138461942,0.757398833153628,-26.75003039807871
cicv5g,aoi_mean_s,ca_dtnet,10,flow_proxy,16438.278830532374,13461.36420348317,-18.10964917761394
cicv5g,aoi_mean_s,ca_dtnet,10,speed_mean_kmh,4.304547688555815,3.538212341999831,-17.80292379645582
cicv5g,aoi_mean_s,ca_dtnet,10,vehicle_count,1.371064820582939,1.0738369171852737,-21.67861772599711
cicv5g,aoi_mean_s,ca_dtnet,30,flow_proxy,14825.536062410003,13867.483742588922,-6.4621765836148555
cicv5g,aoi_mean_s,ca_dtnet,30,speed_mean_kmh,3.6517836831555077,4.054581132889006,11.030156317540294
cicv5g,aoi_mean_s,ca_dtnet,30,vehicle_count,1.916790265580829,1.0330398200175293,-46.10574546531985
cicv5g,aoi_mean_s,graph_gru,5,flow_proxy,15000.038725946637,9275.63944282985,-38.16256336199365
cicv5g,aoi_mean_s,graph_gru,5,speed_mean_kmh,4.044272140628883,2.917685519653359,-27.85635038928674
cicv5g,aoi_mean_s,graph_gru,5,vehicle_count,1.1215291079908716,0.8186277272284033,-27.007892697881225
cicv5g,aoi_mean_s,graph_gru,10,flow_proxy,20092.88543940647,12750.68132184675,-36.541312793016886
cicv5g,aoi_mean_s,graph_gru,10,speed_mean_kmh,4.871134590626486,3.544636741906668,-27.231804445502583
cicv5g,aoi_mean_s,graph_gru,10,vehicle_count,1.5379417473858414,1.1439933848119332,-25.615297892914533
cicv5g,aoi_mean_s,graph_gru,30,flow_proxy,15843.004588567805,15124.707849153529,-4.5338416422105965
cicv5g,aoi_mean_s,graph_gru,30,speed_mean_kmh,4.131304464041494,4.483764522319299,8.531447161361278
cicv5g,aoi_mean_s,graph_gru,30,vehicle_count,1.7973263001385253,1.2449413564371021,-30.733703756823616
cicv5g,aoi_mean_s,historical_average,5,flow_proxy,18894.9948628247,17302.68644319418,-8.427143966905723
cicv5g,aoi_mean_s,historical_average,5,speed_mean_kmh,5.867711431479623,5.248318971931913,-10.555946142292257
cicv5g,aoi_mean_s,historical_average,5,vehicle_count,2.185443615274706,1.4019230050319276,-35.851787764339676
cicv5g,aoi_mean_s,historical_average,10,flow_proxy,19140.700091913048,17946.267960520963,-6.240274000720112
cicv5g,aoi_mean_s,historical_average,10,speed_mean_kmh,5.952751748782563,5.2610644208754955,-11.619623258883035
cicv5g,aoi_mean_s,historical_average,10,vehicle_count,2.2416120737435037,1.3683858679146712,-38.95527741671254
cicv5g,aoi_mean_s,historical_average,30,flow_proxy,18083.658396055525,19361.430723180572,7.065895070231214
cicv5g,aoi_mean_s,historical_average,30,speed_mean_kmh,5.476322678003817,5.47872819827698,0.043925831442186335
cicv5g,aoi_mean_s,historical_average,30,vehicle_count,1.931529423052972,1.3769604571498932,-28.7113909015887
cicv5g,aoi_mean_s,impaired_gru,5,flow_proxy,14975.636196224237,10151.561598282256,-32.21281910651007
cicv5g,aoi_mean_s,impaired_gru,5,speed_mean_kmh,4.093779208172694,2.8797476297647804,-29.65552155374443
